model_type,step,input_length,accuracy,loss
RNN,30,5,0.2578125,1.7718406915664673
RNN,40,5,0.296875,1.632615566253662
RNN,50,5,0.296875,1.657261848449707
RNN,60,5,0.2890625,1.632773756980896
RNN,70,5,0.375,1.4711583852767944
RNN,80,5,0.3046875,1.509463906288147
RNN,90,5,0.171875,1.8287806510925293
RNN,100,5,0.4453125,1.372200846672058
RNN,110,5,0.375,1.3797024488449097
RNN,120,5,0.46875,1.3322633504867554
RNN,130,5,0.3984375,1.3322340250015259
RNN,140,5,0.3671875,1.409907579421997
RNN,150,5,0.6015625,1.1790891885757446
RNN,160,5,0.4453125,1.2273377180099487
RNN,170,5,0.4921875,1.1475334167480469
RNN,180,5,0.5,1.1885993480682373
RNN,190,5,0.515625,1.0645979642868042
RNN,200,5,0.5703125,1.0386837720870972
RNN,210,5,0.609375,1.0023168325424194
RNN,220,5,0.6171875,0.9192115664482117
RNN,230,5,0.546875,1.0074955224990845
RNN,240,5,0.5703125,1.0133943557739258
RNN,250,5,0.6328125,0.881203293800354
RNN,260,5,0.53125,0.9504245519638062
RNN,270,5,0.5625,0.9672378897666931
RNN,280,5,0.6484375,0.8538514375686646
RNN,290,5,0.65625,0.7954133749008179
RNN,300,5,0.671875,0.8248853087425232
RNN,310,5,0.5859375,0.8329039216041565
RNN,320,5,0.6328125,0.7565092444419861
RNN,330,5,0.4296875,1.1352578401565552
RNN,340,5,0.765625,0.6972167491912842
RNN,350,5,0.4375,1.1925904750823975
RNN,360,5,0.84375,0.6293393969535828
RNN,370,5,0.6875,0.728063702583313
RNN,380,5,0.78125,0.6427543759346008
RNN,390,5,0.8359375,0.6156711578369141
RNN,400,5,0.46875,1.0021318197250366
RNN,410,5,0.7109375,0.6710690259933472
RNN,420,5,0.46875,0.8790978789329529
RNN,0,5,0.0703125,2.3025829792022705
RNN,0,5,0.1171875,2.3025827407836914
RNN,0,5,0.09375,2.3025827407836914
RNN,0,5,0.109375,2.3025832176208496
RNN,0,5,0.078125,2.3025827407836914
