iter 176, train_loss_avg 2.034886680080392, test_loss_avg 1.648276686668396, train_acc 0.46000000834465027, test_acc_avg 0.40511556529998777
iter 177, train_loss_avg 2.0326063264621776, test_loss_avg 1.6557985544204712, train_acc 0.4033333361148834, test_acc_avg 0.4077422320048014
iter 178, train_loss_avg 2.0300452502746156, test_loss_avg 1.704622745513916, train_acc 0.4099999964237213, test_acc_avg 0.39840445389350254
iter 179, train_loss_avg 2.02804580728213, test_loss_avg 1.6656992435455322, train_acc 0.4533333480358124, test_acc_avg 0.40349334287643435
iter 180, train_loss_avg 2.027064816069208, test_loss_avg 1.647254228591919, train_acc 0.3499999940395355, test_acc_avg 0.4086488984823227
iter 181, train_loss_avg 2.0251167062874678, test_loss_avg 1.6730624437332153, train_acc 0.39666667580604553, test_acc_avg 0.4026644539435705
iter 182, train_loss_avg 2.023287152983452, test_loss_avg 1.6843634843826294, train_acc 0.4300000071525574, test_acc_avg 0.3997866756518682
iter 183, train_loss_avg 2.021501336408698, test_loss_avg 1.6699717044830322, train_acc 0.39666667580604553, test_acc_avg 0.4056711204648018
iter 184, train_loss_avg 2.019347803012745, test_loss_avg 1.694455862045288, train_acc 0.41333335638046265, test_acc_avg 0.3962422311306
iter 185, train_loss_avg 2.017686107466298, test_loss_avg 1.6934372186660767, train_acc 0.39666667580604553, test_acc_avg 0.3964288982550303
iter 186, train_loss_avg 2.0159555922217547, test_loss_avg 1.6680686473846436, train_acc 0.39666667580604553, test_acc_avg 0.4041977874239286
iter 187, train_loss_avg 2.013691733492182, test_loss_avg 1.6754213571548462, train_acc 0.3933333456516266, test_acc_avg 0.40256889816125235
iter 188, train_loss_avg 2.0114179534256142, test_loss_avg 1.6563061475753784, train_acc 0.4566666781902313, test_acc_avg 0.41110889852046967
iter 189, train_loss_avg 2.009352133148595, test_loss_avg 1.659801721572876, train_acc 0.4566666781902313, test_acc_avg 0.4070066762963931
iter 190, train_loss_avg 2.007304164751662, test_loss_avg 1.6930166482925415, train_acc 0.43666666746139526, test_acc_avg 0.3942800092299779
iter 191, train_loss_avg 2.0052674636244774, test_loss_avg 1.6676862239837646, train_acc 0.4399999976158142, test_acc_avg 0.40404667576154074
iter 192, train_loss_avg 2.0027574183409698, test_loss_avg 1.6588505506515503, train_acc 0.4633333384990692, test_acc_avg 0.4103288984298706
iter 193, train_loss_avg 2.0009266383869133, test_loss_avg 1.6671044826507568, train_acc 0.4233333468437195, test_acc_avg 0.41278001004457476
iter 194, train_loss_avg 1.999532667795817, test_loss_avg 1.636970043182373, train_acc 0.3933333456516266, test_acc_avg 0.41796223233143487
iter 195, train_loss_avg 1.9981087744235992, test_loss_avg 1.6243033409118652, train_acc 0.41333335638046265, test_acc_avg 0.416235565284888
iter 196, train_loss_avg 1.9962706493242137, test_loss_avg 1.6364535093307495, train_acc 0.3733333349227905, test_acc_avg 0.4151733432014783
iter 197, train_loss_avg 1.9947758882936806, test_loss_avg 1.6479047536849976, train_acc 0.39000001549720764, test_acc_avg 0.411328898469607
iter 198, train_loss_avg 1.9929357323814276, test_loss_avg 1.6518809795379639, train_acc 0.4099999964237213, test_acc_avg 0.4176066765387853
